Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,2.4e-05,17.812969,[2 3] ; [ 1 68],[0.2027027 4.7972973] ; [ 2.7972973 66.2027027],1
r4,1,0.001639,9.914928,[2 3] ; [62  7],[4.32432432 0.67567568] ; [59.67567568  9.32432432],0
p2,1,0.001694,9.854935,[1 4] ; [56 13],[3.85135135 1.14864865] ; [53.14864865 15.85135135],0
d5,1,0.003981,8.292557,[1 4] ; [54 15],[3.71621622 1.28378378] ; [51.28378378 17.71621622],0
r3,1,0.051177,3.802456,[3 2] ; [61  7],[4.38356164 0.61643836] ; [59.61643836  8.38356164],0
n6,1,0.057467,3.609011,[2 3] ; [53 15],[3.76712329 1.23287671] ; [51.23287671 16.76712329],0
r2,1,0.139345,2.185177,[4 1] ; [65  3],[4.7260274 0.2739726] ; [64.2739726  3.7260274],0
s7,1,0.17397,1.848395,[1 4] ; [33 31],[2.46376812 2.53623188] ; [31.53623188 32.46376812],0
d2,1,0.184409,1.761726,[1 4] ; [35 34],[2.43243243 2.56756757] ; [33.56756757 35.43243243],0
v2,1,0.229435,1.444359,[1 4] ; [32 35],[2.29166667 2.70833333] ; [30.70833333 36.29166667],0
p9,1,0.238114,1.391723,[2 3] ; [45 23],[3.21917808 1.78082192] ; [43.78082192 24.21917808],0
r1,1,0.26469,1.24406,[3 2] ; [55 13],[3.97260274 1.02739726] ; [54.02739726 13.97260274],0
p6,1,0.292339,1.108819,[1 4] ; [30 38],[2.12328767 2.87671233] ; [28.87671233 39.12328767],0
d4,1,0.301224,1.068766,[3 2] ; [55 14],[3.91891892 1.08108108] ; [54.08108108 14.91891892],0
b1,1,0.304191,1.055729,[1 4] ; [30 39],[2.09459459 2.90540541] ; [28.90540541 40.09459459],0
p10,1,0.323559,0.974504,[2 3] ; [43 26],[3.04054054 1.95945946] ; [41.95945946 27.04054054],0
v3,1,0.388693,0.743028,[3 2] ; [27 40],[2.08333333 2.91666667] ; [27.91666667 39.08333333],0
b2,1,0.400814,0.705882,[1 1] ; [ 8 26],[0.5 1.5] ; [ 8.5 25.5],0
b3,1,0.400814,0.705882,[1 1] ; [ 8 26],[0.5 1.5] ; [ 8.5 25.5],0
s3,1,0.491013,0.474305,[2 3] ; [38 30],[2.73972603 2.26027397] ; [37.26027397 30.73972603],0
d3,1,0.498755,0.457585,[3 2] ; [51 18],[3.64864865 1.35135135] ; [50.35135135 18.64864865],0
p1,1,0.502504,0.449644,[1 4] ; [ 7 61],[0.54794521 4.45205479] ; [ 7.45205479 60.54794521],0
a6,1,0.55575,0.347117,[2 3] ; [37 32],[2.63513514 2.36486486] ; [36.36486486 32.63513514],0
v1,1,0.59895,0.276583,[3 2] ; [33 36],[2.43243243 2.56756757] ; [33.56756757 35.43243243],0
s2,1,0.620496,0.245171,[3 2] ; [33 35],[2.46575342 2.53424658] ; [33.53424658 34.46575342],0
a7,1,0.708147,0.140135,[3 2] ; [47 22],[3.37837838 1.62162162] ; [46.62162162 22.37837838],0
p3,1,0.735019,0.114553,[3 2] ; [36 33],[2.63513514 2.36486486] ; [36.36486486 32.63513514],0
a5,1,0.760865,0.092626,[3 2] ; [46 23],[3.31081081 1.68918919] ; [45.68918919 23.31081081],0
s6,1,0.816129,0.054069,[3 2] ; [43 23],[3.23943662 1.76056338] ; [42.76056338 23.23943662],0
b5,1,0.865787,0.028565,[3 2] ; [44 25],[3.17567568 1.82432432] ; [43.82432432 25.17567568],0
p7,1,0.885004,0.020917,[3 2] ; [43 25],[3.15068493 1.84931507] ; [42.84931507 25.15068493],0
a3,1,0.90472,0.014328,[3 2] ; [42 25],[3.125 1.875] ; [41.875 25.125],0
b4,1,0.929245,0.007885,[3 2] ; [40 29],[2.90540541 2.09459459] ; [40.09459459 28.90540541],0
p4,1,0.937571,0.006134,[3 2] ; [42 26],[3.08219178 1.91780822] ; [41.91780822 26.08219178],0
s4,1,0.961423,0.002339,[1 4] ; [13 55],[0.95890411 4.04109589] ; [13.04109589 54.95890411],0
